Commodity,Port,Time,Containerized Vessel SWT (Gen) (kg),Customs Containerized Vessel Value (Gen) ($US)
02 Meat And Edible Meat Offal,"Boston, MA (Port)",1/1/2003,"41,950","192,600"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",3/1/2003,"19,686","99,500"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",4/1/2003,"20,876","110,200"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",5/1/2003,"20,975","92,100"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",6/1/2003,"19,500","73,020"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",7/1/2003,"65,962","281,399"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",8/1/2003,"39,000","134,490"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",9/1/2003,"22,721","92,570"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",11/1/2003,"40,661","145,230"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",1/1/2004,"20,975","64,800"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",2/1/2004,"41,949","117,840"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",6/1/2004,"19,909","54,100"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",8/1/2004,"19,567","66,475"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",10/1/2004,"19,567","72,750"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2004,"78,840","320,200"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",1/1/2005,"58,844","208,516"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",2/1/2005,"19,710","75,210"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",4/1/2005,"39,277","144,658"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",5/1/2005,"19,567","73,500"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",7/1/2005,463,"5,435"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",9/1/2005,"20,975","73,100"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",10/1/2005,"21,870","79,260"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",11/1/2005,"38,510","154,465"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2005,"40,685","149,310"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",1/1/2006,"61,315","225,746"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",2/1/2006,"80,460","303,058"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",3/1/2006,"18,800","74,525"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",4/1/2006,"43,180","153,652"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",5/1/2006,"18,800","70,475"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",6/1/2006,"44,870","157,545"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2006,"17,961","67,165"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",1/1/2007,"38,596","149,845"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",2/1/2007,"18,886","66,820"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",3/1/2007,"19,710","83,025"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",5/1/2007,"20,250","87,075"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",7/1/2007,"18,886","79,300"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2007,"97,174","419,840"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",1/1/2008,"97,027","410,265"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",2/1/2008,"57,120","244,165"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",9/1/2008,"60,162","254,875"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",11/1/2008,"23,891","83,430"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2008,"27,760","154,032"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",1/1/2009,"39,748","165,365"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",2/1/2009,"58,940","249,025"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",4/1/2009,"117,170","489,815"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",5/1/2009,"19,520","82,165"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",6/1/2009,"103,226","397,086"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",9/1/2009,"20,226","85,050"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",10/1/2009,"23,790","93,967"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",11/1/2009,"64,077","244,600"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2009,"43,145","162,405"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",1/1/2010,"44,547","191,861"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",2/1/2010,"58,030","238,386"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",3/1/2010,"38,320","165,394"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",4/1/2010,"38,400","173,479"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",5/1/2010,"19,520","82,215"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",6/1/2010,"19,520","82,215"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",7/1/2010,"50,373","234,892"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",9/1/2010,"6,684","71,572"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",11/1/2010,"15,859","138,587"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2010,"21,336","163,113"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",3/1/2011,"7,856","95,881"
